SENTENCE,SENTIMENT
And the explanation is common ancestry.”  Roberts first found TV fame as a bone specialist and a presenter on the archaeology show Time Team.,1
"Other good science things  Those are just our favorite sweeping topics, but a lot of other stuff happened this year - and we wrote some fun things that we're proud of that you can find online at The Post (using these headlines): ""This mind-blowing new 3-D printing technique is inspired by 'Terminator 2' ""; ""Meet the six female 'underground astronauts' who recovered our newest relative""; ""This rare butterfly is half male, half female""; this new, 'complete' tree of life shows how 2.3 million species are related""; and ""Meet the man who spent 12 years trapped inside his body watching 'Barney' reruns.""",1
"The founders considered what kinds of flexible or stretchable products they might enhance with electronics (they even considered contact lenses), but within a couple of months they had settled on balloon catheters and health-monitoring skin patches.",0
Follow him on Twitter @imalexbeamyrnot.,0
"Back from last year is the American photographic artist Caleb Charland, whose pictures provide an imaginative visual binding for the series.",1
"""In terms of treatment, HIV is easier to control than diabetes,"" says Prof Orkin, who chairs the British HIV Association.",1
"About 20,000 children, mostly boys, are diagnosed around the world every year with Duchenne.",-1
Economic inequity already exists in the reproductive industry.,-1
2,0
"In some ways, not that much.",0
"One aims to eliminate a defect responsible for a serious disease, an outcome most would view as an unalloyed good.",1
Every technology advance has been pursued aggressively for the perceived economic or military advantage of its developer.,-1
"Using CRISPR, biologists could modify a specific gene in the targeted species -- so that it created only male progeny, for example.",0
Open-source software is making it nearly as easy to program a robot as it is to write an app.,1
"This makes specialty crops harder to harvest than commodity crops, experts say.",-1
"Instead of working in a well-funded research institute, as might be expected of a Fulbright biotech scholar, Deb is now part of the worldwide farmers’ movement to limit corporate control and to redefine what knowledge is, and who owns it.",0
"The National Science Foundation is underwriting an effort to create dairy cattle that can resist a parasite that causes sleeping sickness in sub-Saharan Africa, a blight often treated with an antimicrobial drug that makes its way into the animal whose meat is consumed by humans.",-1
"Certain plants, such as cork trees, naturally produce a lot of suberin.",0
Andy Rosen can be reached at andrew.rosen@globe.com.,0
"A culture that provides the results the boss wants, or does not investigate inconvenient anomalies, or withholds data from nosy outsiders is not good enough.",-1
Five more awards will be announced in the coming days:  The Nobel Prize in Physics will be announced on Tuesday in Sweden.,1
And alleles differ from one another in a few nucleotides.,0
